Episode,Reward,Duration
1,-2450.00,0.64
2,-1950.00,0.07
3,-3750.00,4.97
4,-1800.00,8.76
5,-2000.00,4.36
6,-1100.00,8.81
7,-1850.00,0.09
8,-3150.00,11.05
9,-2200.00,5.02
10,-1500.00,1.60
11,-2550.00,1.89
12,-2100.00,0.11
13,-2350.00,6.18
14,-2200.00,4.57
15,-2100.00,10.29
16,-2750.00,4.77
17,-2400.00,0.31
18,-2100.00,3.29
19,-1750.00,5.38
20,-1550.00,5.12
21,-1350.00,1.22
22,-2700.00,0.32
23,-1400.00,2.66
24,-1950.00,10.61
25,-1200.00,5.04
26,-1650.00,0.08
27,-1650.00,5.18
28,-400.00,8.61
29,-700.00,10.87
30,-2900.00,0.66
31,-1350.00,0.09
32,-650.00,5.01
33,-1100.00,13.99
34,-700.00,5.01
35,-1200.00,6.79
36,-1600.00,5.57
37,-2300.00,15.01
38,-1800.00,10.18
39,-3300.00,4.13
40,-1600.00,7.69
41,-1500.00,12.00
42,-1400.00,11.67
43,-650.00,10.26
44,-2050.00,5.26
45,-1400.00,5.37
46,-1650.00,14.84
47,-1100.00,4.78
48,-1900.00,6.74
49,-1100.00,6.06
50,-700.00,5.10
51,-450.00,5.05
52,-950.00,8.50
53,-1900.00,13.27
54,-750.00,8.21
55,-1400.00,18.69
56,-1100.00,8.48
57,-800.00,13.39
58,-1600.00,8.06
59,-1200.00,4.86
60,-1300.00,13.70
61,-850.00,10.06
62,-600.00,5.14
63,-500.00,4.91
64,-850.00,6.46
65,-1000.00,5.44
66,-750.00,6.75
67,-950.00,5.12
68,-850.00,6.72
69,-850.00,8.65
70,-2000.00,2.89
71,-1250.00,5.73
72,-1900.00,3.27
73,-1800.00,5.61
74,-1400.00,5.76
75,-1150.00,7.23
76,-750.00,6.18
77,-1000.00,5.84
78,-1100.00,10.44
79,-300.00,5.29
80,-1550.00,15.57
81,-2050.00,9.03
82,-1200.00,5.59
83,-900.00,7.14
84,-1150.00,6.58
85,-2950.00,8.52
86,-1000.00,12.46
87,-2100.00,1.65
88,-2350.00,1.67
89,-2200.00,5.00
90,-1450.00,6.49
91,-850.00,6.94
92,-1050.00,5.64
93,-1250.00,8.38
94,-2500.00,0.09
95,-1300.00,9.97
96,-2700.00,5.73
97,-900.00,18.11
98,-1250.00,5.44
99,-1400.00,6.52
100,-2900.00,0.10
101,-2400.00,8.13
102,-950.00,1.57
103,-1000.00,0.08
104,-650.00,5.65
105,-1950.00,6.07
106,-1700.00,5.47
107,-1100.00,2.82
108,-2450.00,18.17
109,-1250.00,1.51
110,-1100.00,6.00
111,-850.00,6.03
112,-1150.00,15.00
113,-1550.00,9.98
114,-1250.00,11.77
115,-1550.00,5.45
116,-1150.00,10.45
117,-1550.00,1.64
118,-1500.00,5.62
119,-1550.00,5.97
120,-1400.00,20.19
121,-1400.00,5.13
122,-850.00,0.07
123,-1250.00,5.96
124,-1350.00,4.96
125,-1150.00,5.74
126,-1800.00,5.39
127,-1950.00,5.06
128,-2050.00,10.44
129,-650.00,4.87
130,-2450.00,26.01
131,-1000.00,4.83
132,-1800.00,4.23
133,-2350.00,5.08
134,-2300.00,5.58
135,-1650.00,4.38
136,-1500.00,1.94
137,-2350.00,5.04
138,-2000.00,4.18
139,-1950.00,0.10
140,-1600.00,8.59
141,-2400.00,5.18
142,-1250.00,5.35
143,-1500.00,10.85
144,-2100.00,8.19
145,-1350.00,6.66
146,-750.00,14.50
147,-2000.00,19.43
148,-1850.00,5.19
149,-1250.00,5.17
150,-1550.00,5.77
151,-1300.00,5.20
152,-800.00,5.96
153,-1950.00,0.63
154,-2350.00,9.30
155,-2000.00,8.52
156,-3200.00,7.58
157,-1100.00,9.23
158,-450.00,7.17
159,-2600.00,6.04
160,-2500.00,8.64
161,-2050.00,9.03
162,-1950.00,7.37
163,-1900.00,6.52
164,-1700.00,6.15
165,-3150.00,5.21
166,-2200.00,6.21
167,-1550.00,8.25
168,-2000.00,2.84
169,-1700.00,11.29
170,-1400.00,1.17
171,-1250.00,15.21
172,-1200.00,0.70
173,-3050.00,0.40
174,-1850.00,6.62
175,-2850.00,7.66
